name,price,link
MacBook Pro 13 2020 Intel i7 16GB 512GB 2.3 GHz Touch Bar Space Gray Very Good,$461.99,https://www.ebay.com/itm/294926820187?_skw=macbook&itmmeta=01JRJ5T8EXJ0AERRGXFXGGXCVR&hash=item44ab02235b:g:uW0AAOSwMFVmqmaN&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cddq0dAANyxFLhyAIGC%2BHFjAwq59ukl29cJMNT6deQ4x1AtpP6pGCkQmVsJkbO2uir6SVWnIXSlzsaxgOKWylb6QLQuNHsZKntSdsBNl2pUsVrUQg9ynVbdQi22pulgfsdXemkPk43z%2FVJ%2B5pWEfAq2ZNouYAMd6nWEsMSAj8lrHZm7mUKGXcXkkKKh3lkaamvbByUehpfvjNAN0GbL%2BugHR0H%2FiksfnqS%2FUTKPkIqaROgKjOZLmLSI5zDE5teZKwXk7cijUylcT0QcaiX6z7s%7Ctkp%3ABk9SR9qH6cXEZQ
MacBook Air 15-inch 2024 M3 / 16GB RAM / 512GB SSD / 10-Core GPU / Midnight,"$1,099.00",https://www.ebay.com/itm/256520205430?_skw=macbook&itmmeta=01JRJ5T8EX039ZZQ7EPH7WR1XH&hash=item3bb9cbb476:g:ow0AAOSweCZmTlsv&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cdKgQ1W3zKuCbYK9SN9wDyRf6TPXSkCEDF%2BHL4cpgj5MUYSNxd6BMKwrFmIQpH1gc4Tu4fLeqKsrwK3fJrpK%2FpSSGSfGZFmobu2VqlWpTLJRy8RaliOz%2Fn9S0OPWGvRoKLvOO%2FHfuNuPrr%2F7MNDF0bJWylp8mY8rJHMxeq%2Fb3mMXQqpbW2jTm1RxZ%2FYCPikc2VWtEni7NE%2FAABsySMkzA0qMJFybyvrTOqt3Y8jjWj%2BS%2BxDShL4qxle7ggiHmUid0Dn4UqnzU79r0fAZjWNh0Q%7Ctkp%3ABk9SR9qH6cXEZQ
"13"" Apple MacBook Air 2019 1.6GHz Intel Core i5 16GB RAM 256GB SSD Gray - Good",$299.99,https://www.ebay.com/itm/126524853327?_skw=macbook&itmmeta=01JRJ5T8EXH9V35KPHHP59DP65&hash=item1d75780c4f:g:3XwAAOSwp5RmaIVK&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fquk3zxxcAWHWrKODBmheTFbBBhNtDl6E1ilOmWSB7z6ne8XimlNBagAEs3qcZVCYiwD960mDSxwqD6py3dHMjneHxcWLl--7t99W8HZXE1J4I0DcwUziBCBcdSzD%2BfNQ3wXT3PQS49%2FkzbS10sRH447ymD6WWEWg8KCj4QJ374MTOJm7PQlSXXiHMJPcGaztWBTGwlCjRZ43ibFoz9tzd8PIOaVNHd1uSLKxJDx5hUg%3D%3D%7Ctkp%3ABk9SR9qH6cXEZQ
"MacBook Pro 16"" Gray 2021 3.2 GHz M1 Pro 10-Core CPU 16-Core GPU 16GB 512GB",$850.49,https://www.ebay.com/itm/284914395417?_skw=macbook&itmmeta=01JRJ5T8EX0RSB4DG8PTWN0ZE0&hash=item425638a919:g:YwUAAeSwJcVno5wf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dex68wHZMBOjCOFPB2NlW0ueALxxBYgOCdFLuENrOweS3%2FlYYZiry2needUxbUPTFl5JV3wFVpFnNJ%2FTlnzsYPijlwEqa30nLQwADM%2FeaaTKNILtj5kzKLqmIqdkCmSQZtQxnB9JiHmvUNMuSu5xWZ9X84dJXKoXtwozpDH6kDpG%2F8FR%2Bdg5QfZd0k1XV51zVcOZsMNLYxy7ooPdfLKtu3qPX53Jtxgo4BP1yJxQimlg%3D%3D%7Ctkp%3ABk9SR9qH6cXEZQ
"Apple MacBook Pro 13.3-Inch Intel i5/i7, 8GB-16GB RAM, 256GB-1TB SSD, Touchbar",$359.00 to $509.00,https://www.ebay.com/itm/187124544980?_skw=macbook&itmmeta=01JRJ5T8EXPD8M5S3KV6ACFN50&hash=item2b917df5d4:g:anQAAOSwkXdnpUXh&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fAwnMKBtm66aGhii38YQBm58wpTprupdq--92DcqTETvhrYYlrS7Ni7Gm26QgctRXoJwaih3ze8gaaPsITOaz%2B4uvWSOi0kA2rPwoC3%2BimqrYq74kx454JIaNVGeOwHIREihmIAmib2LGuerkD8I0vBvD30eUNtsxOumwQIKNYJvLTW3Uoyu0zGAym4dOw4HDNTlZhxt3gOEl5%2BbDFW%2Bl%2BGIGwDuLNPaUsgO3%2B9ukR6o2Keu4CZNw1NpkQhVYQsneM2nL8p8UGuHQJC5Jzr2lc%7Ctkp%3ABFBM2ofpxcRl
"Apple MacBook Pro with Apple M1 Chip 13"", 8GB, 512GB - Space Gray",$529.99,https://www.ebay.com/itm/167280709760?_skw=macbook&itmmeta=01JRJ5T8EXJ8VFXTYR6CFHPYQK&hash=item26f2b51080:g:p1wAAeSw2QNnmVhW&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ekDMATitzNqXnIC7%2FiZegWNPhJZSOaZyOF5rbkfDU9jNrBzYP7RmG0jhtroKi3WDJg%2FJ9XBw4BTEG1Qx7s6apN6cYVrrgm3RG5i%2FyYYTO0qs4nusBF1bjXXNByrUYrRmokdP6QsSjDEqcFm94TCEfHBmMztKlQsukjS8Yh3%2BL1hTDFQ2JqlBtE15XJyCzTZ%2FvxldQrsX%2BN9k3FLF0vIiToEEmLdSmKY7GWb9mcnLYU89y7BgUTUIaKfCCOtbMP4hkXWuz2vglyGgN9ORPhtan5%7Ctkp%3ABFBM3IfpxcRl
"Apple Macbook Air MLY33LL/A 2022 M2 - Magsafe 3 - 13.6""  8GB/256GB SSD Excellent",$657.00,https://www.ebay.com/itm/166206685749?_skw=macbook&itmmeta=01JRJ5T8EXN9GGFSHTS0ZTM095&hash=item26b2b0c235:g:104AAOSwFIRn3Dep&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e6x35qcrmhndKxkObw%2FGpw125I5haT756jRZtbHyhkNeSFXwXbbPtgGL3eRs6MEtJdvDg%2BgWJjMIHDK39JQg%2FEGm4ZmmlsHe5TrfgJS6nwSQoauDn%2Fe3vO5H78MkjsF8m%2Fw0aV0ahJO9cOUfmEka%2FWmG%2Fe610haIV8PIGV024WWSYKiMBkHVVXz4ZdgrckERSIZVwq9z8JJEF%2FRER1F5CzdPKTHJzbIdFW%2FOFZ6OvUU%2B8kv39nZDUnd1qFWbFO6V0UpYI9OrjQ7ejz9EkBwdhl%7Ctkp%3ABk9SR9yH6cXEZQ
2024 Apple MacBook Air 13-inch M3 Chip 16GB RAM 256GB SSD Midnight MC8K4LL/A,$799.00,https://www.ebay.com/itm/276803014543?_skw=macbook&itmmeta=01JRJ5T8EXB7KKRKQC9BQG9TVE&hash=item4072becf8f:g:d2QAAOSwhTlnk8rQ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1erFf%2FFXGaMb2Ci5sdbqa2AuV4mYKMZXQvKFmNryVK2LcVUgo1gt29Y3L%2FnPSiiP4W8QPhKTz%2FI%2Bf%2B1zWPo75p82kTq0T9vhlbUm1rmLG4DoJwGcB2QmxW%2BiOw9xO8AVrYSh3MehfNmw3KFJzDDBEscfHVVm87pTMPv5a9f1P3F%2BoswmAIj64Axrp9mMEMGPE7FjQNiD3zeCGCqIL0N4uCDVMXjIc4pgQFmgwykk8Xr0A%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
"Apple MacBook Pro 2015 13.3"" (i5-5257u, 8GB RAM, 256GB SSD, MF839LL/A), Good",$169.99,https://www.ebay.com/itm/276435115322?_skw=macbook&epid=25070420244&itmmeta=01JRJ5T8EXKN7V5RTZ34N594S6&hash=item405cd11d3a:g:XiAAAOSw1kpmGNw3&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fy9qRammC9SkgpfIf5odO8yKNGo6SaWNFXSob14U7R5kjbA9GF0ZR5Vktf0gzti8TNBD87hLOObITzMx6b7N0LQ37%2FQdhQ8qnqe1qSMXQpECvfgYS6ArdM1RijL2wSBgYnI6Zmd1KrmNh6N--I62L3OzguECdsX30YSg18jaD6kwZLxbd%2FoldMcK5NZ3WO6fhOIzSqLkhf6txtAnvq5p3spWvVReQWcpcYkTID50GK6Q%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
"Apple MacBook Pro 2020 13"" 2 Port TB | M1 8/8 core CPU/GPU | 16GB 1TB SSD *",$624.00,https://www.ebay.com/itm/145894659136?_skw=macbook&epid=6050674426&itmmeta=01JRJ5T8EXTVH0M9MK19CRVHZH&hash=item21f7ffd440:g:v5sAAOSweIlmlwg6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eKHeI06plRVGiIj5TPIUacBWrxODBU%2BXD9nZgiq4--LPmGXdp3QwyYIRkyni3Hdx8znQc8BjKPJcQEU6jKK7fq95ZiaegRogfjeWRgobHDy6kl7Ae52sQRuxr7LGVpVHq3YgzzXLonhJ6JPcj%2BsURypic43%2FF7pOXLTYUloHnzf8ZIlWClw6hiy8j437k7JXpXhMlCMkWO1U9x5d4tQLjmvK8dj%2BfAMKQ8vEXaouHgXpOI5v1hRMe9pF%2Bd2CCiuUZ%2F76dU6eLlM9TQdlOhjwpP%7Ctkp%3ABk9SR9yH6cXEZQ
"SEQUOIA Apple MacBook Pro 13"" 3.8GHz i5 Quad Core 8GB RAM 512GB SSD - WARRANTY",$430.22,https://www.ebay.com/itm/286477005673?_skw=macbook&itmmeta=01JRJ5T8EXB0W6RPHFQHHSHAS0&hash=item42b35c3369:g:7FsAAOSwgY9k~HtS&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dpp2iv3YQI%2Fib%2B9TI2FyXcjbiEP%2F2ZIazoRRmLDBHRGfDsXpjDBCv4r1iRNK8gxJnAWYlu27DrXuK3P6877w6DZyzTOX3nptAKZ3wTRizrnqeFsX0MG2mqCSOnfbdXY9Hcwj8LFpfM7k08zJhZxTiSfFrgD049TfTiptjOu72LlVj9qMEapWi00ZGbLcLYAt0yffOC9pxfQaaYhw9rsbNoriwgdVAfS%2BPi2puRFK1xbA%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
MacBook Pro 13 Touch Bar 2019 i5 8GB 256GB SSD 1.4GHz Space Gray Good Condition,$293.99,https://www.ebay.com/itm/274946876384?_skw=macbook&itmmeta=01JRJ5T8EXAV4KWQQSV41KS090&hash=item40041c63e0:g:1xcAAOSwME9mYhbd&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dE1coMlCS3jw%2By3fdP0RdjzbVFMuFqjD4Hsl8G5rj6c%2BOOdYi1JhvABh4mx0GlMebU%2B0XLBIdjcS9B5DzBoascGDCWsAMBC6Lu5V1Y%2BVxA4QrZCoEiIRsE1w83p%2B4xneOXSZbyTt0f%2B58ZY0yETm7BKixbQFjwQk0GqoM03pUTaHv7bvZ0dq0bkDw2WgxcKvJAn7BJHe%2FHPKLpEAEoZ%2BcABH7g4hFHQ9FZJ8AF%2BEKSoe4A2qAfTxRRCXhopva96PnqZeYZsF87uYzzFBoRBAye%7Ctkp%3ABk9SR9yH6cXEZQ
💻  MacBook Air 13” (2020) - i3 1.1GHz - 8GB Memory - 256GB SSD  💻,$383.63,https://www.ebay.com/itm/388062300058?_skw=macbook&itmmeta=01JRJ5T8EX7QM2MN59JAB6WH52&hash=item5a5a50c79a:g:6ugAAOSwHOdnz1Vf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e79oU15ldtHJv7F6CQY67yxA2iAmDbPnPCleX2ozchy3Z393ABTs7xQllXw2s0EWhBOoZoP4n67oq68dmEDO%2BBcxDGXNUZ7iscoYfSIKPTXsqbswMAiStlpMtt596hNu%2FzB%2FIVrTLBRW9UVrXHwbg9jsHghfNzlY2o%2BZywgk9QATroIs6WsCtmUENPdtiGfR5Gno95c7bjalWHT%2BLH5BTlhkTWSvMxU09yZV0cjsF0pg%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
"11"" Apple MacBook Air 1.6GHz Intel Core i5 8GB RAM 256GB SSD 2015 Monterey Good!",$149.00,https://www.ebay.com/itm/127031040495?_skw=macbook&itmmeta=01JRJ5T8EX5S9BTSB030VQP6SN&hash=item1d93a3d9ef:g:6qQAAOSwFa1n7pv5&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dqbyFUd%2Futp%2BZSH4ccWqBerLl5wcaOPSHxJAgSC%2B4KTa2DyjJkdMUnt%2Bejfxm6CgmMjLZ%2FvhF6HlaOYQl7bIe%2BaVMvYaGCW3lE4h4OJQAfOQDwJbYzUUHxDuFvw6%2BVSNriM79kM4wzs9i0uPeroA5cJlL4LS8RLhmGI2dA1WP7H7oUG%2FTzcjAwbYiu17Qrqr2Z8jFQGE7cJRMshB0UihCgM69n5DnzMgCHSSOJX7f7SQ%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
"SONOMA Apple MacBook Pro 13"" 2.4GHz i5 Quad Core 16GB RAM 256GB SSD - WARRANTY",$495.63,https://www.ebay.com/itm/286477005588?_skw=macbook&itmmeta=01JRJ5T8EXN87DNPK93QE5FGES&hash=item42b35c3314:g:t~IAAOSwHV9lKWjO&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dD%2BtG5fy%2FN2NRGiR2N1jzbnm%2Bfdmf2IEwWIuQRrYvykBdGyn%2FQh1yaSiitf286HWxQTRBlf46Xd0uOxiyG8ODNg12rEYS%2BD2AyNlBGgXurezAmUpiOUk%2FEBrb6Ahnx%2FrFWhDEkNIYFEhyar1%2BtrRdS%2BbWct2kBxLNAuOPHgoV46lO%2F6rYQa0bD1pmZzVjwI9cMvNNNdCFsDH692l6%2B3yotXT6bovZHQH5gr3KlTITmRw%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
2020 Macbook Air i3,$296.83,https://www.ebay.com/itm/156873384224?_skw=macbook&itmmeta=01JRJ5T8EX7NJSTQY34F09WK3W&hash=item248661e120:g:TbcAAeSwSUln9Xbo&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d1wfcRU4n%2BXe3l8dDi2%2FTL0l0a90yOPN4wgp2JnFTffuCYzz%2FGoXhXXa2LS%2BAuQk%2FIJE4lB6N9yY10mqP59WdjUFvGLko6Eg0V6%2FVHoRS2BBGEm2Lg862AyZcdA3aFr4Aq0Y%2BgiPqyA1a%2F3FcQ7rDNDmsh98Jov8ttuiqrVy3CmemCNbcC%2FpiNqZDbZDebTKZpjFqZPYyad9BaBHF4vfsW5t9Ag9I3qoFy9iDC2SOynw%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
MacBook Pro 13 Touch Bar 2020 M1 8-Core / 8-Core GPU 16GB 256GB Space Gray Good,$535.49,https://www.ebay.com/itm/275375045713?_skw=macbook&itmmeta=01JRJ5T8EXQJ6Y6NBBNJJ6S38N&hash=item401da1bc51:g:~hgAAOSwSadmRM8~&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eslumXrcQcrOHp0iyW9nWOFau8rSBR6%2FpxSLwueaTFEbHSe%2FPZSOdWawcC2V30zawLY%2FOzGoQtY2nY%2FT64DOAsykTlPHd1SutPBTAquaSi8XQIOuVTWKDSjQTVdXMLX9AvCohO7su9O2Tk2e%2F2rWZP1br0PXXvDQFLVde3QoXk3t3JrFIIXj%2BrVZ%2BXgxF5T9hM6cupATTOgHT3R0wlknotJc%2FnjFvFXEPQZRl%2FPvG44g%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
"13"" Apple MacBook Pro 1.4GHz Intel Core i5 16GB RAM 256GB SSD 2020 - Excellent",$463.99,https://www.ebay.com/itm/127015350383?_skw=macbook&itmmeta=01JRJ5T8EXZ897DA88Q6JETNRF&hash=item1d92b4706f:g:eRkAAOSwHc1n4~Tx&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fjxVyjTMHCpk7U9vrI%2BFzT51Alb2Op6%2BozL2LUjvXwmCfUZAy0lAZpO9I7lGxIrvesNnIk2yck35rGTV2lKSIEmZhOzlikxPkGSPFjC67M%2FMgTwC5ifqN5cMSC%2B4ahmwA%2BVcVXzZQkIOznt%2BY077FtY5PXKSQ1vETlmXjiANDytjFO%2B3Qa5Xn%2FzG5Q5Ww3kaSXRLuoU7eRuzdb8ARyc1WFM556%2FKjsRnPnKb%2FBN6JqdA%3D%3D%7Ctkp%3ABk9SR9yH6cXEZQ
"MacBook Pro 13 inch Mid 2012 500GB SSD, 16GB",$75.05,https://www.ebay.com/itm/127027009273?_skw=macbook&epid=1661807943&itmmeta=01JRJ5T8EX6AZE2ZR47EMN9F4H&hash=item1d936656f9:g:jWcAAeSwBOFn6-rs&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c5wSNISNWumIGSvFdJjUUFzWC%2FsCmdQGsjUHzbu43%2FM5Uz7%2FQB2%2BPPDacbCRe5J5%2FfQWoPOFIWDDkwgRMkVYrYV7Cq1DXC8X1LmyrRqZ%2FSbvS7fVbiHf5D5qlB9CGPMy7U25ORBoPFuleBDVDGMdNZ0Eyk6EC9QyMQw3ElCW7IR6%2FIfO4SvAtKF480Gghu6Q8zI9JlUXJdPd5NyoWjbQHwr2QQYlAp%2Bni%2FaFM81Oft4ozg%2FHe9VVSJPIKFMRuShQkU8x3V1cyKD0e7NvqRS5hm%7Ctkp%3ABk9SR96H6cXEZQ
